time;total_jogos;qtde_temporadas_disputadas;total_vitorias_fora;total_empates_fora;total_derrotas_fora;total_gols_marcados_fora;total_gols_sofridos_fora;total_gols_marcados;total_gols_sofridos;total_pontos;aproveitamento_final_%;total_vitorias_casa;total_empates_casa;total_derrotas_casa;total_gols_marcados_casa;total_gols_sofridos_casa
America-MG;140;4;9;18;43;43;108;116;167;157;37.38;31;19;20;73;59
Atletico-GO;178;5;21;23;45;78;142;171;244;191;35.77;25;30;34;93;102
Atletico-MG;405;10;60;66;76;234;271;608;459;675;55.56;130;39;34;374;188
Atletico-PR;368;10;47;42;96;169;248;449;393;541;49.0;105;43;35;280;145
Avai-SC;140;4;11;13;46;41;122;110;209;130;30.95;19;27;24;69;87
Bahia-BA;304;8;30;44;78;139;221;328;371;366;40.13;62;46;44;189;150
Botafogo-RJ;330;9;39;41;85;147;233;360;403;414;41.82;72;40;53;213;170
Ceara-CE;178;5;16;31;42;87;111;187;194;216;40.45;35;32;22;100;83
Chapecoense-SC;265;7;22;40;71;112;217;261;359;287;36.1;48;37;47;149;142
Corinthians-SP;406;10;57;60;86;191;223;487;370;636;52.22;113;66;24;296;147
Coritiba-PR;292;8;21;37;87;128;251;310;380;335;38.24;65;40;42;182;129
Criciuma-SC;76;2;5;9;24;32;74;77;119;78;34.21;15;9;14;45;45
Cruzeiro-MG;304;8;47;37;68;154;189;391;329;460;50.44;80;42;30;237;140
Csa-AL;38;1;2;3;14;7;34;24;58;32;28.07;6;5;8;17;24
Cuiaba-MT;64;2;6;12;14;24;34;51;62;73;38.02;10;13;9;27;28
Figueirense-SC;152;4;13;14;49;56;137;142;219;157;34.43;26;26;24;86;82
Flamengo-RJ;406;10;73;55;76;250;259;597;437;676;55.5;119;45;38;347;178
Fluminense-RJ;406;10;58;49;95;206;275;503;471;582;47.78;101;56;47;297;196
Fortaleza-CE;140;4;17;14;39;71;106;152;166;182;43.33;33;18;19;81;60
Goias-GO;216;6;23;25;60;95;180;241;292;269;41.51;49;28;31;146;112
Gremio-RS;380;10;56;60;74;193;213;491;361;613;53.77;114;43;33;298;148
Internacional-RS;368;10;45;62;77;168;224;463;382;562;50.91;107;44;33;295;158
Joinville-SC;38;1;1;3;15;7;31;26;48;31;27.19;6;7;6;19;17
Juventude-RS;64;2;3;11;18;26;55;56;88;64;33.33;11;11;10;30;33
Nautico-PE;76;2;3;6;29;21;82;66;130;69;30.26;16;6;16;45;48
Palmeiras-SP;368;10;67;46;71;214;223;533;398;602;54.53;105;40;39;319;175
Parana-PR;38;1;1;1;17;5;34;18;57;23;20.18;3;10;6;13;23
Ponte Preta-SP;190;5;13;31;51;78;149;200;243;228;40.0;46;20;29;122;94
Portuguesa-SP;76;2;6;12;20;32;56;89;87;93;40.79;16;15;7;57;31
Red Bull Bragantino-SP;102;3;12;19;20;58;68;141;119;142;46.41;23;18;10;83;51
Santa Cruz-PE;38;1;1;5;13;18;42;45;69;31;27.19;7;2;10;27;27
Santos-SP;406;10;50;61;92;184;250;525;413;617;50.66;117;55;31;341;163
Sao Paulo-SP;406;10;61;55;87;209;260;510;424;621;50.99;106;65;32;301;164
Sport-PE;304;8;28;34;90;124;251;313;397;366;40.13;68;44;40;189;146
Vasco da Gama-RJ;266;7;31;42;60;122;194;280;355;332;41.6;53;38;42;158;161
Vitoria-BA;190;5;23;23;49;104;160;233;281;222;38.95;35;25;35;129;121
